feature,mapping
language,CN00025261
marital_status,CN00606037
race,CN29962802
age,CN36066071
50808,CN00458126
50809,CN36899464
50813,CN35805798
50816,CN37120305
50818,CN15540338
50819,CN35102051
50825,CN00619404
50861,CN37627870
50862,CN36968128
50882,CN37568021
50884,CN36999238
50885,CN37077944
50950,CN37352330
50952,CN19326902
50960,CN37201386
50970,CN37128516
50983,CN00874534
50998,CN18798253
51000,CN37533841
51006,CN35828257
51009,CN37374682
51082,CN37512170
51093,CN37082812
51097,CN11556283
51100,CN00470261
51104,CN00018323
51144,CN33434557
51200,CN37639305
51214,CN00677719
51221,CN37677458
51237,CN37265165
51249,CN10429675
51251,CN00252486
51257,CN00227475
51265,CN37585577
51274,CN37265165
51275,CN37471567
51277,CN37355908
51283,CN37570644
51301,CN37630928
51476,CN37464916
51491,CN00471674
51492,CN37186361
51498,CN00004527
51514,CN36610696
51516,CN37630928
52135,CN00233488
outcome_21d,CN36909145
