feature,mapping
marital_status,CN00606037
race,CN29962802
age,CN36066071
50803,CN14718873
50808,CN00458126
50809,CN36899464
50813,CN35805798
50816,CN37120305
50818,CN15540338
50819,CN35102051
50825,CN00619404
50838,CN37077944
50841,CN23163071
50844,CN35377895
50849,CN11935118
50856,CN37201319
50861,CN37627870
50862,CN36968128
50866,CN37523271
50882,CN37568021
50884,CN36999238
50885,CN37077944
50890,CN00494449
50894,CN35059492
50909,CN02179875
50917,CN37366875
50927,CN37376402
50934,
50947,
50949,CN37352342
50950,CN37352330
50960,CN37201386
50963,CN04801328
50964,CN35180600
50965,CN37034691
50967,CN37641345
50970,CN37128516
50976,CN35465711
50983,CN00874534
50996,CN37402399
50998,CN18798253
51000,CN37533841
51006,CN35828257
51007,CN37380176
51009,CN37374682
51010,CN36991286
51025,CN00781344
51030,CN35542131
51041,CN37042282
51042,CN00874534
51047,CN31427913
51060,CN02274444
51067,CN37091837
51093,CN37082812
51097,CN11556283
51100,CN00470261
51104,CN00018323
51115,CN37677458
51119,CN00252486
51163,CN00019055
51181,CN32858699
51196,CN37018616
51199,CN37008401
51200,CN37639305
51205,CN37195053
51214,CN00677719
51221,CN37677458
51249,CN10429675
51250,CN00021891
51251,CN00252486
51257,CN00227475
51265,CN37585577
51271,CN19901283
51274,CN37265165
51275,CN37471567
51277,CN37355908
51283,CN37570644
51284,CN37570644
51299,CN37617741
51300,CN37606813
51301,CN37630928
51375,CN37263748
51385,CN37339014
51419,CN37639305
51434,
51445,CN34927286
51446,CN37263748
51447,CN37030125
51453,
51471,CN36336983
51476,CN37464916
51478,CN36899464
51492,CN37186361
51498,CN00004527
51514,CN36610696
51516,CN37630928
51598,CN00362888
51625,CN37308993
51626,CN05501571
51660,CN30337326
51735,CN36991650
51736,CN37475757
51737,CN36027014
51744,CN32871445
51765,CN32826360
51802,CN35465706
51903,CN36963458
52007,CN32834070
52008,CN32834070
52010,CN32834070
52020,CN32834070
52109,CN00781608
52132,CN35700851
52135,CN00233488
52285,CN06742660
53110,CN26524070
53180,CN36902567
outcome_21d,CN36909145
